,propeller_1 rpm [1/min],propeller_1 shaft_power_in [kW],propeller_1 torque_in [N*m],propeller_1 efficiency [-],propeller_1 advance_ratio [-],motor_1 efficiency [-],motor_1 torque_out [N*m],motor_1 ac_current_rms_in [A],motor_1 ac_voltage_rms_in [V],inverter_1 modulation_index [-],inverter_1 efficiency [-],inverter_1 dc_current_in [A],inverter_1 diode_temperature [degK],inverter_1 IGBT_temperature [degK],inverter_1 casing_temperature [degK],inverter_1 losses_inverter [W],inverter_1 switching_losses_IGBT [W],inverter_1 switching_losses_diode [W],inverter_1 conduction_losses_IGBT [W],inverter_1 conduction_losses_diode [W],dc_bus_1 dc_voltage [V],harness_1 dc_current [A],harness_1 cable_temperature [degK],harness_1 conduction_losses [W],dc_bus_2 dc_voltage [V],dc_dc_converter_1 efficiency [-],dc_dc_converter_1 duty_cycle [-],dc_dc_converter_1 dc_current_in [A],dc_dc_converter_1 dc_current_out [A],battery_pack_1 c_rate [1/h],battery_pack_1 state_of_charge [percent],battery_pack_1 open_circuit_voltage [V],battery_pack_1 internal_resistance [ohm],battery_pack_1 voltage_out [V],thrust [N],altitude [m],time_step [s],true_airspeed [m/s],exterior_temperature [degK]
47,4000.0,158.42501605020402,378.2118662070424,0.7081380305456931,0.8285612025769507,0.9728799137425095,378.2118662070424,504.80126776771755,322.5849382006746,0.7902733197928332,0.9689307458235596,336.1703377336223,324.8108593838555,328.8949176529477,305.5552938241613,5221.5881472483925,488.89212620859075,326.0431682865653,41.768153528922674,13.561243183986688,499.93367959457186,336.17033773270947,286.31194644694466,22.29495309134927,500.0,0.9789255293993973,0.5308116210351461,388.5106347719647,336.1703377336223,0.6475177246199412,65.2451871861019,3.741721064876165,0.0045383391470167865,441.95375569386795,1453.8243480124572,2438.4,45.58152610570528,77.16666666666667,272.30039999999997
48,4000.0,158.42501605020414,378.2118662070427,0.7081380305456928,0.8285612025769507,0.9728799137425096,378.2118662070427,504.80126776771795,322.5849382006746,0.7902732683179258,0.9689307458087311,336.17031584211884,324.81085947613974,328.8949176154411,305.5552938327349,5221.588149820468,488.8921262085909,326.0431682865654,41.76815248122263,13.561244660365768,499.9337121580419,336.17031584099226,286.1903830978192,22.28400476747722,500.0,0.9789061622551055,0.5311199317598614,388.9995760600095,336.17031584211884,0.6483326267666825,64.42533035086103,3.737425061603633,0.00455273507600738,441.4069593345143,1453.8243480124574,2438.4,45.58152610570528,77.16666666666667,272.30039999999997
49,4000.0,158.42501605020414,378.2118662070427,0.7081380305456928,0.8285612025769507,0.9728799137425096,378.2118662070427,504.80126776771795,322.5849382006746,0.7902732179005255,0.9689307457942068,336.1702944003572,324.81085956652805,328.894917578705,305.5552938411323,5221.588152339701,488.8921262085909,326.0431682865654,41.76815145504662,13.561246106413913,499.93374405252786,336.1702943991492,286.0713171311764,22.273281367404998,500.0,0.9788870738337733,0.531423276105833,389.4812916006557,336.1702944003572,0.6491354860010928,63.60444172441254,3.733197261135372,0.004566381821830155,440.869590176612,1453.8243480124574,2438.4,45.58152610570551,77.16666666666667,272.30039999999997
50,4000.0,158.42501605020402,378.2118662070424,0.7081380305456931,0.8285612025769507,0.9728799137425095,378.2118662070424,504.80126776771755,322.5849382006746,0.7902731685189066,0.9689307457799813,336.17027339909765,324.8108596550594,328.8949175427236,305.5552938493572,5221.588154807177,488.89212620859075,326.0431682865653,41.768150449952465,13.561247522754252,499.9337752917735,336.17027339779565,285.95469724111985,22.26277827019644,500.0,0.9788682497930622,0.5317219058375514,389.95615160932925,336.17027339909765,0.649926919348882,62.78253655493202,3.7290339118204843,0.004579295391387756,440.34117178682646,1453.8243480124572,2438.4,45.58152610570528,77.16666666666667,272.30039999999997
51,4000.0,158.42501605020402,378.2118662070424,0.7081380305456931,0.8285612025769507,0.9728799137425095,378.2118662070424,504.80126776771755,322.5849382006746,0.7902731201517896,0.9689307457660477,336.1702528292906,324.81085974177205,328.89491750748147,305.5552938574132,5221.588157223962,488.89212620859075,326.0431682865653,41.76814946550712,13.561248909997131,499.9338058892401,336.1702528279556,285.8404731757737,22.25249094988034,500.0,0.978849675046695,0.5320160825019343,390.42454436872106,336.1702528292906,0.6507075739478684,61.959629309345864,3.7249311474828803,0.0045914919971156145,439.82121301415964,1453.8243480124572,2438.4,45.58152610570528,77.16666666666667,272.30039999999997
52,4000.0,158.42501605020402,378.2118662070424,0.7081380305456931,0.8285612025769507,0.9728799137425095,378.2118662070424,504.80126776771755,322.5849382006746,0.7902730727783321,0.9689307457524005,336.1702326820722,324.8108598267032,328.8949174729633,305.5552938653036,5221.588159591096,488.89212620859075,326.0431682865653,41.76814850128634,13.561250268740343,499.9338358581125,336.1702326804948,285.7285957156293,22.242414973425426,500.0,0.9788313337572607,0.5323060775126388,390.88687639669536,336.1702326820722,0.6514781273278256,61.135733635204616,3.720884986097465,0.004602988051196171,439.3092078460022,1453.8243480124572,2438.4,45.58152610570551,77.16666666666667,272.30039999999997
53,4000.0,158.42501605020402,378.2118662070424,0.7081380305456931,0.8285612025769507,0.9728799137425095,378.2118662070424,504.80126776771755,322.5849382006746,0.7902730263781202,0.9689307457390336,336.1702129487601,324.8108599098896,328.89491743915437,305.555293873032,5221.5881619096,488.89212620859075,326.0431682865653,41.76814755687462,13.561251599569381,499.9338652113046,336.1702129469701,285.619016652336,22.232545998942808,500.0,0.9788132093286631,0.5325921722391954,391.34357262296936,336.1702129487601,0.6522392877049489,60.310862322202134,3.7168913284094915,0.004613800159821985,438.8046352574863,1453.8243480124572,2438.4,45.58152610570551,77.16666666666667,272.30039999999997
54,4000.0,158.42501605020402,378.2118662070424,0.7081380305456931,0.8285612025769507,0.9728799137425095,378.2118662070424,504.80126776771755,322.5849382006746,0.7902729809311593,0.9689307457259415,336.1701936208514,324.8108599913669,328.8949174060399,305.55529388060154,5221.588164180473,488.89212620859075,326.0431682865653,41.76814663186499,13.56125290305772,499.9338939614649,336.1701936190195,285.51168876792866,22.222879773734515,500.0,0.97879528439812,0.5328746581018343,391.79507657666966,336.1701936208514,0.6529917942944494,59.48502726332186,3.712945956489702,0.004623945117527028,438.30695905313297,1453.8243480124572,2438.4,45.58152610570505,77.16666666666667,272.30039999999997
55,4000.0,158.42501605020414,378.2118662070427,0.7081380305456928,0.8285612025769507,0.9728799137425096,378.2118662070427,504.80126776771795,322.5849382006746,0.790272936417865,0.9689307457131182,336.17017469001723,324.8108600711704,328.89491737360584,305.5552938880156,5221.588166404694,488.8921262085909,326.0431682865654,41.76814572585888,13.561254179767081,499.93392212098223,336.1701746880373,285.4065658144813,22.213412132418313,500.0,0.9787775408276106,0.5331538366729875,392.2418505871006,336.17017469001723,0.6537364176451677,58.65823941558732,3.7090445322176393,0.004633439901605741,437.8156276997569,1453.8243480124574,2438.4,45.58152610570551,77.16666666666667,272.30039999999997
56,4000.0,158.42501605020414,378.2118662070427,0.7081380305456928,0.8285612025769507,0.9728799137425096,378.2118662070427,504.80126776771795,322.5849382006746,0.7902728928190563,0.9689307457005583,336.17015614810003,324.81086014933436,328.8949173418381,305.5552938952774,5221.588168583218,488.8921262085909,326.0431682865654,41.768144838465815,13.561255430247591,499.9339497019908,336.1701561460145,285.3036024941783,22.2041389952442,500.0,0.9787599596946659,0.5334300197864474,392.6843760001188,336.17015614810003,0.654473960000198,57.83050876038888,3.705182595684987,0.0046423016666396755,437.33007414952357,1453.8243480124574,2438.4,45.58152610570505,77.16666666666667,272.30039999999997
57,4000.0,158.42501605020402,378.2118662070424,0.7081380305456931,0.8285612025769507,0.9728799137425095,378.2118662070424,504.80126776771755,322.5849382006746,0.7902728501159455,0.9689307456882567,336.17013798710946,324.8108602258925,328.8949173107229,305.5552939023899,5221.588170716986,488.89212620859075,326.0431682865653,41.7681439693034,13.5612566550381,499.9339767163756,336.17013798466434,285.20275443979585,22.19505636622112,500.0,0.9787425212823881,0.5337035296552757,393.12315341274126,336.17013798710946,0.6552052556879021,57.00184426335407,3.701355563510376,0.004650547739151747,436.8497156519978,1453.8243480124572,2438.4,45.58152610570551,77.16666666666667,272.30039999999997
58,4000.0,158.42501605020402,378.2118662070424,0.7081380305456931,0.8285612025769507,0.9728799137425095,378.2118662070424,504.80126776771755,322.5849382006746,0.7902728082901314,0.9689307456762075,336.1701201992201,324.81086030087783,328.894917280247,305.55529390935635,5221.588172806918,488.89212620859075,326.0431682865653,41.76814311799717,13.561257854666414,499.93400317577726,336.1701201966054,285.1039781955838,22.18616033155155,500.0,0.978725205068579,0.5339746989995731,393.5587029287052,336.1701201992201,0.655931171547842,56.172253833722586,3.6975587270565584,0.0046581956124083935,436.3739535539565,1453.8243480124572,2438.4,45.58152610570505,77.16666666666667,272.30039999999997
59,4000.0,158.42501605020414,378.2118662070427,0.7081380305456928,0.8285612025769507,0.9728799137425096,378.2118662070427,504.80126776771795,322.5849382006746,0.79027276732359,0.968930745664406,336.1701027767665,324.8108603743228,328.8949172503972,305.5552939161797,5221.588174853916,488.8921262085909,326.0431682865654,41.768142284180286,13.561259029649474,499.9340290915975,336.1701027739828,285.0072311985411,22.177447057763214,500.0,0.9787079897138495,0.5342438711852833,393.9915644378597,336.1701027767665,0.6566526073964328,55.34174428318221,3.693787250540446,0.0046652629413901124,435.9021730856845,1453.8243480124574,2438.4,45.58152610570551,77.16666666666667,272.30039999999997
60,4000.0,158.42501605020402,378.2118662070424,0.7081380305456931,0.8285612025769507,0.9728799137425095,378.2118662070424,504.80126776771755,322.5849382006746,0.7902727271986687,0.9689307456528468,336.17008571224125,324.81086044625874,328.89491722116065,305.55529392286286,5221.588176858859,488.89212620859075,326.0431682865653,41.76814146749333,13.56126018049357,499.9340544750037,336.17008570916977,284.91247176007465,22.168912790150102,500.0,0.9786908530485756,0.5345114003753116,394.4222979225181,336.17008571224125,0.6573704965375302,54.51032128411499,3.690036169025898,0.004671767537951131,435.4337431323937,1453.8243480124572,2438.4,45.58152610570551,77.16666666666667,272.30039999999997
61,4000.0,86.01125233982688,205.33673957111696,0.6663096797807931,0.667324720975571,0.9567396862842968,205.33673957111696,274.0639723822061,328.02695586942355,0.8035577889137934,0.9584308276742929,187.61288402641648,316.112791996042,318.12079229706364,301.1472307812224,3899.1692343667173,364.27912609004204,256.9691406570113,21.63947175081134,6.973800563254827,499.96321039005153,187.6128840245858,284.81965904803576,6.902204824572244,500.0,0.9828590732318742,0.5328891379832762,217.7651155507849,187.61288402641648,0.3629418592513082,53.67798932719704,3.68630038628861,0.004677727366189117,438.28146299298027,922.1233790069703,2438.4,84.2105263157896,62.15017568019152,272.30039999999997
62,4000.0,85.4180638393231,203.92060634051026,0.6647898428983611,0.6629952436571691,0.9564847816591245,203.92060634051026,272.17385228283587,328.11437554387686,0.8037714622732579,0.9582742692008192,186.39897777771068,316.0415013468721,318.03516840687433,301.1117765022658,3888.5329506797448,363.29471424440925,256.3898036366966,21.483204546671573,6.9211026855132936,499.96350646820804,186.39897777604287,284.4288466425047,6.802357021459181,500.0,0.9828779294510512,0.5331379686785631,216.5683565481512,186.39897777771068,0.36094726091358537,52.82900252193082,3.682504353513386,0.004683258224127134,437.843540274047,919.6414523969564,2310.063157894737,84.2105263157896,61.74695702593768,273.1345894736842
63,4000.0,84.83532488716891,202.52941956899733,0.6632250152804942,0.6587069296606582,0.956230811357187,202.52941956899733,270.31702834707664,328.20152114307444,0.8039844830086365,0.9581184479191595,185.20650638964156,315.9714657397906,317.9510941731134,301.0769570189656,3878.087105689675,362.32821926702104,255.82045844105872,21.329821163996034,6.8693520762034055,499.9637907173149,185.20650638802212,284.084681272992,6.706194744922302,500.0,0.9828963049063357,0.5333849187369164,215.3924607445129,185.20650638964156,0.3589874345741882,51.984681443770384,3.678738076678685,0.00468823036443304,437.40933130251267,917.1497382100224,2181.7263157894736,84.2105263157896,61.34757204906264,273.9687789473684
64,4000.0,84.26287410907156,201.1627940038324,0.6616153989940249,0.6544592640634621,0.9559778249561769,201.1627940038324,268.4929863761635,328.28837516779396,0.8041968075027713,0.9579633898136805,184.03513688503176,315.90266581925783,317.86854411932796,301.0427621445362,3867.8286433608587,361.37934305874825,255.26095871274967,21.179272069097962,6.818533386213969,499.9640636136794,184.03513688339308,283.78538495681414,6.613557775606101,500.0,0.982914190472642,0.533630426693258,214.2375135174605,184.03513688503176,0.35706252252910087,51.14494475470796,3.674995359741346,0.004692673537763985,436.97805632704257,914.6482471254515,2053.3894736842103,84.21052631578914,60.95197279311044,274.8029684210526
65,4000.0,83.70055363141829,199.82035274952767,0.6599612056472121,0.650251739920536,0.9557258718904011,199.82035274952767,266.70122332580553,328.37492013326454,0.8044083922098089,0.9578091208009792,182.88454356016732,315.8350826492279,317.78749335765247,301.0091819221373,3857.754576641195,360.4477944778653,254.7111610871132,21.031508925139537,6.768631616747868,499.9643256107918,182.8845435585632,283.5292471919049,6.524294387076756,500.0,0.9829315772756668,0.5338749259660591,213.10359408287448,182.88454356016732,0.3551726568047908,50.30971078387965,3.6712700914748284,0.004696616583582025,436.5489474810172,912.1369895625246,1925.0526315789475,84.2105263157896,60.56011204459926,275.63715789473684
