ADVANCE_RATIO,CP,ETA
1.6,0.062,0.884
1.6,0.069,0.888
1.6,0.076,0.892
1.6,0.083,0.894
1.6,0.09,0.895
1.6,0.097,0.895
1.6,0.104,0.895
1.6,0.111,0.893
1.6,0.118,0.891
1.6,0.125,0.888
1.6,0.132,0.885
1.6,0.139,0.881
1.6,0.146,0.877
1.6,0.153,0.872
1.6,0.16,0.867
