,Design Power (kW),Design T41t (degK),Design OPR (-),Design altitude (ft),Design Mach (-),Design Fuel Consumed (kg/h),Limit Shaft (kW),Altitude (ft),Mach (-),Shaft Power (kW),Fuel mass flow (kg/h),Exhaust mass flow (kg/s),Exhaust velocity (m/s),Total temperature 3 (degK),Total pressure 3 (bar)
0,947.860203870396,1223.3625619546165,7.354320794365004,0.0,0.0,466.8096737351723,581.4612267698606,9984.868774792543,0.363660076997244,549.058736250761,267.63440952662813,4.365840945531283,202.84860950008445,509.86419606144943,3.881153074751419
0,2943.8973849995614,1516.420870283217,19.18131987897732,0.0,0.0,1025.2828029161217,1254.4718619519354,10253.736163370491,0.1006376389998893,1088.414918376917,436.1080538181424,6.801059683285554,164.9387068024433,652.3165119014296,8.031928331596921
0,424.3385062948481,961.4780454855608,6.0,0.0,0.0,334.06243169357816,355.3601058335011,8645.8171804286,0.4466655027181554,313.1771543276501,219.8018041294437,5.435709441408003,199.4883127984212,492.66085732426507,3.606173547363202
0,2272.878078115136,1396.8901248523548,14.11843490673431,0.0,0.0,861.9741710148568,1085.703786793235,180.3429380604361,0.4548921228304938,967.9720706220878,463.6304996740986,8.401553341728984,154.00486835369745,613.517203333394,8.02663051835308
0,1028.6374024975687,1446.056351771036,8.561448856854167,0.0,0.0,417.4774759083914,648.6279215557765,23546.45277049525,0.5176881373751673,555.6445817714292,187.5978858701127,2.192119358905176,265.36135050428305,524.3726265015375,3.363594632299689
0,1654.2031368397545,1529.9107280482017,17.828559348306356,0.0,0.0,570.8050896124272,1309.8933483232256,31442.76072378906,0.077337689686739,1012.8876909676178,278.82019007765564,2.893873049147549,338.2679398650268,697.5604316614567,6.656414364230312
0,2301.7230370128445,1505.7506957287787,17.123111933542454,0.0,0.0,806.8945417821614,1024.9567103213983,4977.315780924899,0.46948672394366,730.6972277789921,324.432515178086,5.821806593700945,143.80340104016673,618.8855236943045,7.639951052940378
0,1788.8810985143716,1143.4621213650053,9.472035500242525,0.0,0.0,938.7225496189168,813.7023392166041,21842.10079960024,0.4592154439232365,679.3534065376296,329.6468189225301,7.457152243218723,192.64787048552307,515.5317965675238,3.279159467425848
0,1137.4519970932956,952.403111139042,8.73934520306171,0.0,0.0,1137.3085382226946,525.2415780635063,2603.677154079062,0.2647460524807951,379.2885708342535,759.8396806369781,23.87090960187965,167.5046925875156,553.5514792140798,5.576541925896652
0,2263.1773060087044,1406.895142957615,12.32728088398009,0.0,0.0,861.8798391427981,1127.9297726274144,12908.167136026266,0.0201352201848136,893.5238623723397,372.4021126189341,5.655905724002319,180.0634578203547,569.4108056672566,5.076656802601935
