,Design Power (kW),Design T41t (degK),Design OPR (-),Design altitude (ft),Design Mach (-),Limit OPR (-),Limit ITT (degK),Altitude (ft),Mach (-),Max Power OPR Limit (kW),Max Power ITT Limit (kW)
52,711.6685492737869,1388.7311804291212,7.602625471225605,0.0,0.0,8.992326842398944,1273.15,30300.877281471414,0.32081326869531646,310.5663915339066,580.4534531427188
53,1256.0268396895187,1340.6467120639081,14.349026862160153,0.0,0.0,14.755797228455197,1273.15,34264.60486768479,0.33603532397472946,337.71165844708554,1678.3589379411803
54,1254.3807795694802,1312.6579425215582,7.186612143950258,0.0,0.0,8.671051532544329,1273.15,16869.08098926535,0.501480036947548,1303.8094755467814,1807.5527698028334
55,1477.8496360953732,1368.1600860186713,14.781020323972522,0.0,0.0,16.242602485835917,1273.15,25888.708477915792,0.5627669920746391,887.9882885660098,2410.1248690645
56,1438.2969478999444,1394.8290255109146,16.615140881284034,0.0,0.0,17.314212712444945,1273.15,28620.476899686866,0.45572929374373095,598.6524965713664,2157.5126150305077
57,1522.7265132907366,1300.0915601331367,13.954023954496625,0.0,0.0,17.19150870473692,1273.15,19483.54840876282,0.21193867708726538,1121.719363106833,3257.899700253931
58,1888.3411290021058,1315.5702421184578,14.628825923506092,0.0,0.0,16.98023915926396,1273.15,28912.484397472403,0.29082729755844,829.2585346669175,3213.8419469829387
59,854.8712154916171,993.0160981986884,8.854401834224873,0.0,0.0,10.148318359439099,958.15,21696.073066541718,0.17387775347507367,572.6387504216677,2528.55024298756
60,1064.6947632760646,1285.5197305135562,10.4157159406977,0.0,0.0,11.922817883160631,1244.142849902239,3952.129706356401,0.08733477908741355,1236.463980829553,2288.23505930744
61,2476.6508769933735,1335.434818752262,15.517758927632995,0.0,0.0,19.364273177883856,1273.15,22669.842956545664,0.4478614729149313,1929.1157262194552,4961.463584733802
62,775.6984678439629,1000.2415996398664,7.031639151641939,0.0,0.0,7.374010386257246,968.421139072683,14396.768612142838,0.3081148968491437,606.6993603868707,1900.712954713602
63,1212.3962579312144,1416.6485351588171,10.923398382460467,0.0,0.0,11.430508174987523,1273.15,1080.321934151742,0.3223802213947561,1479.3068964989131,1990.9380189862122
64,2036.3814010735925,1283.4615274731623,18.121642012892003,0.0,0.0,18.908371929417466,1273.15,9547.355022722659,0.19350160907604602,1631.1201165891184,7983.83406752956
65,1005.7784750434519,1043.1353068362052,10.636986879744134,0.0,0.0,13.60478595687216,1006.7009216765792,2695.9001125901104,0.22648012161134157,2129.66049274895,4467.244414299287
66,2514.753107566517,1338.2496923979015,20.119031774351182,0.0,0.0,24.53071423227329,1273.15,18688.458812010103,0.4861593256556558,2412.660791981185,7406.465014138896
67,575.945581989604,1174.1345580355937,7.0,0.0,0.0,8.051264905328658,1086.6800859047812,6120.356402785326,0.43174373289595946,834.6164965669057,1033.297655177676
68,2253.684864618332,1338.8094402635647,13.681662086854868,0.0,0.0,15.559594071886734,1273.15,33881.00075335631,0.2530977975337855,717.3823556237675,2909.5120521812923
69,707.548775485735,1176.0639158665226,9.586740678853785,0.0,0.0,11.676673586723107,1103.3688022076728,16482.904159722922,0.5459246057755291,853.0355771431131,1441.0603750149298
70,851.3856988481024,1045.178063922141,10.13800964609199,0.0,0.0,13.100838364777314,958.15,26016.826422890947,0.18084178897058367,613.164202991391,1932.3027467181662
71,728.6157995312868,1370.5623723758854,10.352198472175086,0.0,0.0,10.48232920603141,1273.15,2741.583831243234,0.17107924633261157,702.9556410293742,1260.5421489331993
72,1597.7262967883767,1353.389318760343,17.41177362215517,0.0,0.0,18.772417452274265,1273.15,6338.730950682898,0.35771801312819423,1745.7240404610116,4619.212614115165
73,988.8288644253963,994.5144894411183,11.190654590561637,0.0,0.0,14.32194685240179,958.15,3703.560193745733,0.46118044988877743,3360.136242614113,7483.4736284533365
74,1900.4721734318055,1320.9300496634846,15.064760192868727,0.0,0.0,17.644068082647188,1273.15,24023.3773966006,0.12310167469546852,981.4892255132911,3608.637654842004
75,1793.492480633285,1145.1326469904047,18.11702038064113,0.0,0.0,23.3225647107797,1107.3340523506831,10138.837693807653,0.1310277652145447,2917.5764599463023,13061.704390165423
76,1413.7971439850346,1233.3958650071809,7.0,0.0,0.0,7.671424166793901,1132.1954254262516,5326.924625388129,0.25709434725920444,1577.5532118331676,2115.0071496150417
77,1170.32997200388,1059.9609431053696,7.981507152406157,0.0,0.0,9.925385849576891,958.15,1796.6493065573072,0.13619472274745686,2064.5203888857272,2529.4705786266186
78,741.6101862390013,1009.7989113812899,7.866012962306512,0.0,0.0,9.721528760725363,958.15,9851.935448183967,0.183817514373677,1013.7914454586636,1977.5098094562707
79,1443.03804128649,1363.5022589513987,13.165644735174451,0.0,0.0,13.25022575231105,1273.15,14806.381261745133,0.0794050886753435,815.2634018232378,2480.0454230110736
80,1360.0281256086505,1057.1857528056012,7.0,0.0,0.0,8.791152042133605,958.15,8345.66733458738,0.07685008044359606,1845.7302842357947,2363.09814818625
81,894.8791940082505,1357.9902185357787,10.625903704323841,0.0,0.0,12.699241392275535,1273.15,5547.213619841118,0.420505404746403,1306.0901218617498,1684.7775627489873
82,606.331497047956,1016.6176875919427,9.680982806681572,0.0,0.0,11.259912961892967,958.15,12223.023665336026,0.2344809490058707,679.4209170803797,2087.2186036490466
83,1357.7465664901224,1103.3565552212795,10.992091733485772,0.0,0.0,11.94450607790763,1025.5304169863575,13664.67667689251,0.3305420183288204,1192.3096776228185,3737.417057336246
84,679.8451533572648,1249.369510458917,7.0,0.0,0.0,7.634993842370742,1185.9097124386667,32707.658008816867,0.21713878601937747,216.64994011092335,632.4937161508467
85,1280.5409810473873,1283.9178361017207,11.488895424963138,0.0,0.0,13.533109839983531,1273.15,27379.341943464224,0.45782445323495696,740.5233725275884,2160.2578650578744
86,2541.6738866213695,1386.2846690781062,18.811140135062963,0.0,0.0,22.624529764786427,1273.15,23700.246319714213,0.4960243291835398,1840.4736657211706,5078.936053694081
87,424.9590794406209,1002.0038753994822,7.0,0.0,0.0,9.033044123699826,958.15,9436.195109660006,0.3356802312794169,747.1001484667603,1083.2727490263715
88,2115.151068984444,1368.451748753102,14.470606266529849,0.0,0.0,14.78998641206971,1273.15,20382.226182029695,0.5595690879454542,1427.868484942271,3830.4210078892434
89,2015.203614122312,1198.2189831820601,16.078157077306436,0.0,0.0,18.27093826389759,1166.623397349238,24312.087490105623,0.10136455567205457,998.2077419675851,5851.795206077957
90,1128.3625488676873,1381.6773838047643,12.671216041268,0.0,0.0,15.900393120214723,1273.15,15367.579931743983,0.5693005317364678,1373.7641497781976,1967.380846267928
91,588.1717674017699,960.3299922362228,7.0,0.0,0.0,7.733212097764454,958.15,23742.206193627415,0.1871623947341215,323.48387872722105,1493.2835959140325
92,2337.212841890761,1169.8133929308397,12.219920590525714,0.0,0.0,12.552419689972986,1120.5804879812304,18998.017416085375,0.5130039137595586,1708.2774613644306,6090.857485676288
93,2412.4254723497365,1422.5054127488602,11.633659612952574,0.0,0.0,13.061219535394962,1273.15,31644.617342121288,0.06981847943881715,778.3045407939651,2189.503694308845
94,2284.8349074550165,1408.6020552343311,14.224565682030619,0.0,0.0,15.067373651434286,1273.15,26369.181189959647,0.11930578878733682,857.9601741717196,2847.537741606141
95,1661.255156121282,1251.8041477649888,13.642655093384795,0.0,0.0,16.954565621840676,1129.6172860366505,22358.087673310438,0.11791612325683415,1068.8199834359013,2839.982854727297
96,1498.2137933789866,1351.940067133749,9.509708784782855,0.0,0.0,10.145410262438906,1273.15,26649.378633598964,0.3773200769198116,675.8001877495947,1734.826563247317
97,1057.4486632166202,1282.8395141877572,10.016877127518642,0.0,0.0,10.652645325754833,1273.15,2221.22620862176,0.5684179846125003,1704.3759276021815,2841.377281745164
98,1294.0665054213268,1055.3732363512859,8.604282404810055,0.0,0.0,9.805612891907922,958.15,1364.8740535018396,0.1330277662809478,1883.6141131789093,3171.355794217143
