,Design Power (kW),Design T41t (degK),Design OPR (-),Design altitude (ft),Design Mach (-),Design Fuel Consumed (kg/h),Limit OPR (-),Limit ITT (degK),Altitude (ft),Mach (-),Max Power OPR Limit (kW),Max Power ITT Limit (kW)
51,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,3888.8888888888887,0.3555555555555555,1639.9653928823034,2766.863730604019
52,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,7777.777777777777,0.3555555555555555,1402.011107510492,2584.720521440801
53,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,11666.666666666666,0.3555555555555555,1195.0171222269596,2404.8076105022683
54,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,15555.555555555557,0.3555555555555555,1014.4372266489676,2227.425812972637
55,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,19444.444444444445,0.3555555555555555,856.6610683067856,2052.848054345884
56,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,23333.33333333333,0.3555555555555555,718.9111989439408,1881.3184559465471
57,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,27222.22222222222,0.3555555555555555,598.9907458180948,1713.0499828326558
58,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,31111.11111111111,0.3555555555555555,495.07832171555015,1548.2200038743038
59,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,35000.0,0.3555555555555555,405.6095568994133,1386.9626443993168
60,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,0.0,0.4166666666666666,2027.2030036019307,3008.2695776738046
61,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,3888.8888888888887,0.4166666666666666,1735.7603344513598,2818.2805682350054
62,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,7777.777777777777,0.4166666666666666,1483.0134862655225,2630.4514860030545
63,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,11666.666666666666,0.4166666666666666,1263.550299791874,2445.2033783287
64,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,15555.555555555557,0.4166666666666666,1072.4491022994555,2262.817790884508
65,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,19444.444444444445,0.4166666666666666,905.7110173415224,2083.5490621995223
66,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,23333.33333333333,0.4166666666666666,760.2544216542046,1907.6233693457864
67,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,27222.22222222222,0.4166666666666666,633.669532464012,1735.2363599092437
68,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,31111.11111111111,0.4166666666666666,523.98235843434,1566.5486904943498
69,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,35000.0,0.4166666666666666,429.50925343293375,1401.6783260013578
70,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,0.0,0.4777777777777777,2163.108762382657,3075.330180074807
71,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,3888.8888888888887,0.4777777777777777,1850.6613691489745,2878.215493451114
72,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,7777.777777777777,0.4777777777777777,1580.0300663494604,2683.697325348229
73,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,11666.666666666666,0.4777777777777777,1345.4789962130387,2492.177128531393
74,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,15555.555555555557,0.4777777777777777,1141.6889768195276,2303.913371857366
75,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,19444.444444444445,0.4777777777777777,964.1965969492682,2119.138086428625
76,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,23333.33333333333,0.4777777777777777,809.5299210329231,1938.0558878472968
77,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,27222.22222222222,0.4777777777777777,675.0017679951135,1760.8415842111788
78,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,31111.11111111111,0.4777777777777777,558.4433876968328,1587.635671320936
79,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,35000.0,0.4777777777777777,458.023211694775,1418.5365463614285
80,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,0.0,0.5388888888888889,2323.6576814060245,3152.187217402131
81,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,3888.8888888888887,0.5388888888888889,1986.4593837582424,2946.8222408046818
82,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,7777.777777777777,0.5388888888888889,1694.533889143698,2744.565370880864
83,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,11666.666666666666,0.5388888888888889,1441.975760860295,2545.7947832144496
84,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,15555.555555555557,0.5388888888888889,1223.076169189747,2350.7416458525418
85,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,19444.444444444445,0.5388888888888889,1032.848086266963,2159.611591772337
86,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,23333.33333333333,0.5388888888888889,867.3314449756741,1972.583698690412
87,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,27222.22222222222,0.5388888888888889,723.4790106247281,1789.8080509420408
88,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,31111.11111111111,0.5388888888888889,598.8726503370473,1611.401158400142
89,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,35000.0,0.5388888888888889,491.4976724685061,1437.4380509230673
90,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,0.0,0.6,2511.5756631950176,3239.064499182636
91,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,3888.8888888888887,0.6,2145.1921041009264,3024.2652417858803
92,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,7777.777777777777,0.6,1828.2193908247325,2813.166837324344
93,988.7830406794158,1283.6111265265683,12.156555297004395,0.0,0.0,382.07304662376026,15.4204485223649,1273.15,11666.666666666666,0.6,1554.4022302616204,2606.1200843610645
